Vendor;Description;Category;Url;FeedStatus
MaxMind;GeoLite2 ASN Database – IP to ASN mapping (requires free license key at maxmind.com);RESTRICTED;https://download.maxmind.com/app/geoip_download?edition_id=GeoLite2-ASN-CSV&license_key=YOUR_KEY&suffix=zip;Restricted
MaxMind;GeoLite2 Country Database – IP to Country mapping (requires free license key at maxmind.com);RESTRICTED;https://download.maxmind.com/app/geoip_download?edition_id=GeoLite2-Country-CSV&license_key=YOUR_KEY&suffix=zip;Restricted
IP2Location;IP2Location LITE DB1 – IP to Country database (free, no key required);GEOIP;https://download.ip2location.com/lite/IP2LOCATION-LITE-DB1.CSV.ZIP;Active
IPDeny.com;IPDeny country IP blocks – all zones (tar.gz, updated daily);GEOIP;http://www.ipdeny.com/ipblocks/data/countries/all-zones.tar.gz;Active
DB-IP;DB-IP Country Lite – free IP to Country database (monthly updated, fixed URL);GEOIP;https://download.db-ip.com/free/dbip-phpsrc-4.0.tgz;Active
Turris;Turris Greylist – IPs observed attacking Turris routers;IP;https://www.turris.cz/greylist-data/greylist-latest.csv;Active
James Brine;Daily malicious IPs from honeypots (SSH/FTP/RDP/GIT/SNMP/REDIS);IP;https://jamesbrine.com.au/csv;Active
SANS ICS / DShield;DShield suggested IP blocklist;IP;https://isc.sans.edu/block.txt;Active
IPsum;IPsum combined threat feed – all blacklists merged with occurrence count;IP;https://raw.githubusercontent.com/stamparm/ipsum/master/ipsum.txt;Active
WSTNPHX;Email addresses used by malware;IOC;https://raw.githubusercontent.com/WSTNPHX/scripts-n-tools/master/malware-email-addresses.txt;Active
SecurityScorecard;Public IoCs from SecurityScorecard technical blog posts;REPO;https://github.com/securityscorecard/SSC-Threat-Intel-IoCs;Active
phishdestroy;PhishDestroy blocklist – phishing and malicious domains;DNS;https://raw.githubusercontent.com/phishdestroy/destroylist/refs/heads/main/list.txt;Active
SANS ICS;SANS ICS Intel Feed – community threat indicators;IP;https://isc.sans.edu/api/intelfeed;Active
CriticalPathSecurity;CPS collected IOCs (Zeek intel format);IP;https://raw.githubusercontent.com/CriticalPathSecurity/Zeek-Intelligence-Feeds/master/cps-collected-iocs.intel;Active
CriticalPathSecurity;CPS LockBit ransomware IPs;IP;https://raw.githubusercontent.com/CriticalPathSecurity/Zeek-Intelligence-Feeds/master/lockbit_ip.intel;Active
CriticalPathSecurity;CPS stalkerware indicators;IP;https://raw.githubusercontent.com/CriticalPathSecurity/Zeek-Intelligence-Feeds/master/stalkerware.intel;Active
CriticalPathSecurity;CPS file transfer portal IOCs;URL;https://raw.githubusercontent.com/CriticalPathSecurity/Zeek-Intelligence-Feeds/master/filetransferportals.intel;Active
CriticalPathSecurity;CPS Ragnar Locker ransomware IOCs;IP;https://raw.githubusercontent.com/CriticalPathSecurity/Zeek-Intelligence-Feeds/master/ragnar.intel;Active
spydisec;High Confidence IP Blocklist – confirmed by 5+ independent sources (~5K IPs);IP;https://spydisec.com/high_confidence_limited.txt;Active
spydisec;High Confidence IP Blocklist – validated by 3+ independent sources (unlimited);IP;https://spydisec.com/high_confidence_unlimited.txt;Active
spydisec;Medium Confidence IP Blocklist – corroborated by 2+ sources (~25K IPs);IP;https://spydisec.com/medium_confidence_limited.txt;Active
spydisec;Medium Confidence IP Blocklist – corroborated by 2+ sources (unlimited);IP;https://spydisec.com/medium_confidence_unlimited.txt;Active
spydisec;Low Confidence IP Blocklist – single source reports (use with caution);IP;https://spydisec.com/low_confidence.txt;Active
spydisec;Full Research IP Blocklist (all tiers combined);IP;https://spydisec.com/fullIPblocklist.txt;Active
spydisec;Permanent append-only IP Blocklist archive;IP;https://spydisec.com/permanentfullIPblocklist.txt;Active
spydisec;Malicious Domains Blocklist;DNS;https://spydisec.com/maliciousblocklist.txt;Active
spydisec;Spam/Scam/Abuse Domains Blocklist;DNS;https://spydisec.com/spamblocklist.txt;Active
spydisec;Ads and Tracking Domains Blocklist;DNS;https://spydisec.com/adsblocklist.txt;Active
spydisec;Permanent append-only Malicious Domains archive;DNS;https://spydisec.com/permanentMaliciousDomainList.txt;Offline
etnetera.cz;Etnetera aggressive IP blocklist (Czech ISP security team);IP;https://security.etnetera.cz/feeds/etn_aggressive.txt;Active
elliotwutingfeng;Inversion DNSBL – scam and phishing domains;DNS;https://raw.githubusercontent.com/elliotwutingfeng/Inversion-DNSBL-Blocklists/main/Google_hostnames.txt;Active
NETSHIELD;Active IP Blacklist – Score ≥65 last 30 days (firewall recommended);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/active_blacklist_ipv4.txt;Active
NETSHIELD;IP Blacklist – Score ≥40 extended rules;IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/blacklist_confidence40_ipv4.txt;Active
NETSHIELD;Combined Threat Blacklist – 180-day window for SIEM/audit;IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/combined_threat_blacklist_ipv4.txt;Active
NETSHIELD;Watchlist – Score 25-39 monitoring only;IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/watchlist_confidence25to39_ipv4.txt;Active
NETSHIELD;CVE exploit and active C2 server IPs (daily);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/cve_exploit_ips.txt;Active
NETSHIELD;Honeypot-confirmed attacker IPs (daily);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/honeypot_ips.txt;Active
NETSHIELD;HoneyDB community honeypot IPs (API);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/honeydb_ips.txt;Offline
